mesure;36;38;40;42;44;46;48;50;52;54
tour_poitrine;84;88;92;96;100;104;108;112;116;120
tour_taille;72;76;80;84;88;94;98;102;104;108
tour_bassin;89;92;95;99;102;105;108;111;114;117
carrure_dos;36.2;37.3;38.4;39.5;40.6;41.7;42.8;43.9;45;46
carrure_devant;33.7;34.8;35.9;37;38.1;39.2;40.3;41.4;42.5;43.5
tour_bras;28.7;29.8;30;31.1;32.2;33.3;34.4;35.5;36.6;37.7
tour_poignet;16.7;16.9;17.1;17.3;17.5;17.7;17.9;18.1;18.3;18.5
tour_encolure;41.9;42.6;43.3;44;44.7;45.4;46.1;46.8;47.5;48.2
tour_genou;36.3;36.7;38.9;40.5;41.8;43.1;44.4;45.7;47.5;48.3
tour_cuisse;50.5;52.7;54.5;56.5;57.5;59.5;61.5;63;64.5;66
tour_cheville;23;23.5;24;24.5;25;25.5;26;26.5;27;27.5
tour_mollet;34.2;35.2;36.6;37;37.8;38.7;39.5;40.4;41.2;42
crane;55.5;56;56;56.5;56.5;57;57;57.5;57.5;58
longueur_7cerv_enc;9.5;9.7;9.9;10.1;10.3;10.5;10.7;10.9;11.1;11.3
cheville_terre;7;7;7;7;7;7;7;7;7;7
genou_sol;48.7;48.7;48.7;48.8;48.8;48.8;48.8;49;49;49
montant;23;23.5;24;24.5;25;25.5;26;26.5;27;27.5
longueur_epaule;14.8;15.1;15.3;15.5;15.7;15.8;15.9;16;16.1;16.2
longueur_manche;62;62;62;62;62;62;62;62;62;62
longueur_dos;44.4;44.6;44.8;45;45.2;45.4;45.6;45.8;46;46.2
entrejambe_terre;81.9;81.5;81.1;80.6;80.2;79.8;79.3;78.9;78.5;78
hauteur_corps;149.8;149.8;149.8;149.8;149.8;149.8;149.8;149.8;149.8;149.8
